cast_id,platform,obs_time,obs_date,lat,lon,obs_surface_t_c,obs_d26_m,obs_tchp_kj_cm2,obs_max_depth_m,model_grid_lat,model_grid_lon,model_grid_distance_km,model_surface_t_c,model_d26_m,model_tchp_kj_cm2,model_max_depth_m,tchp_delta_kj_cm2
aoml/4903548/profiles/D4903548_096.nc,4903548,2024-09-29T16:34:19Z,20240929,27.15116,-89.70664,28.992000579833984,48.22055252389013,52.109817135829424,1990.6006056450349,27.16149139404297,-89.679931640625,2.881,29.472036361694336,63.13818371763301,66.19336060766683,2000.0,-14.083543471837409
aoml/4903550/profiles/D4903550_096.nc,4903550,2024-09-29T05:16:19Z,20240929,25.26286,-86.10289,30.156999588012695,138.4803794265264,169.40140416857867,1988.7887883492572,25.295774459838867,-86.0799560546875,4.326,30.44003677368164,108.67613260666296,132.51473244149008,3000.0,36.88667172708858
aoml/4903551/profiles/D4903551_096.nc,4903551,2024-09-29T14:07:49Z,20240929,25.74653,-89.71817,29.964000701904297,96.41716130050311,127.40369127560967,1988.8379611372256,25.72896957397461,-89.679931640625,4.299,29.88621711730957,73.01371420515142,76.06241452331186,3000.0,51.341276752297816
aoml/4903556/profiles/D4903556_096.nc,4903556,2024-09-29T01:22:48Z,20240929,27.73711,-85.96959,29.148000717163086,53.875771477616304,58.06762949547629,1988.6235288514986,27.729455947875977,-86.0,3.112,29.576162338256836,64.68799140803408,68.8788715489879,3000.0,-10.811242053511613
aoml/4903254/profiles/D4903254_379.nc,4903254,2024-10-04T23:12:43Z,20241004,28.75684,-87.45932,28.650999069213867,42.72479541187289,38.138786099451515,1487.7114862667756,28.786420822143555,-87.43994140625,3.793,28.494295120239258,43.225147937729076,34.73728388763817,1500.0,3.4015022118133444
aoml/4903356/profiles/D4903356_256.nc,4903356,2024-10-04T19:35:44Z,20241004,27.93977,-89.26053,28.790000915527344,45.950676128869986,40.525970421618126,1329.9824502198767,27.94168472290039,-89.280029296875,1.927,28.939998626708984,65.77450305152193,63.90850145319311,1250.0,-23.382531031574985
aoml/4903546/profiles/D4903546_097.nc,4903546,2024-10-04T19:19:31Z,20241004,21.58425,-96.3699,29.69099998474121,42.90904473176368,59.2511866985347,1841.8475140726093,21.552940368652344,-96.4000244140625,4.672,29.77371597290039,48.535847203114194,60.345678153612006,1500.0,-1.0944914550773035
aoml/4903548/profiles/D4903548_097.nc,4903548,2024-10-04T17:08:45Z,20241004,27.14458,-89.53181,28.589000701904297,53.625112962882994,47.446489611762715,1982.965748104104,27.16149139404297,-89.52001953125,2.213,29.23592185974121,56.762517540164325,56.54650144690177,2000.0,-9.100011835139057
aoml/4903550/profiles/D4903550_097.nc,4903550,2024-10-04T06:00:07Z,20241004,25.46803,-86.23948,29.979000091552734,165.5662064581372,185.97803871331726,1989.6257045387165,25.44034767150879,-86.239990234375,3.079,29.957237243652344,118.04300132981169,131.45514849685392,3000.0,54.52289021646334
aoml/4903551/profiles/D4903551_097.nc,4903551,2024-10-04T14:48:19Z,20241004,25.71311,-90.59803,29.71500015258789,129.68631263675596,125.67273255208303,1985.3787627532183,25.72896957397461,-90.56005859375,4.193,29.70005989074707,94.25047647353468,105.51307001125868,3000.0,20.159662540824357
