source_file,platform,cycle,lat,lon,obs_time,n_levels,max_depth_dbar,min_depth_dbar,surface_T_c,surface_S_psu
aoml/4903551/profiles/D4903551_097.nc,4903551,97.0,25.71311,-90.59803,2024-10-04T14:48:19Z,1009,2007.9,1.0,29.715,36.377
aoml/4903551/profiles/D4903551_098.nc,4903551,98.0,25.34834,-91.11342,2024-10-09T15:35:10Z,1007,2004.2,1.0,29.206,36.335
aoml/4903551/profiles/D4903551_099.nc,4903551,99.0,25.2858,-91.38809,2024-10-14T16:22:15Z,1009,2007.4,1.0,28.927,36.39
aoml/4903552/profiles/D4903552_096.nc,4903552,96.0,25.56453,-85.57224,2024-09-28T18:56:27Z,1011,2011.3,1.08,30.053,35.997
aoml/4903552/profiles/D4903552_097.nc,4903552,97.0,24.82354,-85.85363,2024-10-03T19:38:44Z,1013,2015.2,0.96,29.995,36.219
aoml/4903552/profiles/D4903552_098.nc,4903552,98.0,24.33242,-86.19183,2024-10-08T20:33:35Z,1012,2013.4,1.12,29.047,35.754
aoml/4903552/profiles/D4903552_099.nc,4903552,99.0,23.9211,-85.76894,2024-10-13T21:14:49Z,1012,2013.6,1.0,28.227,36.009
aoml/4903554/profiles/D4903554_103.nc,4903554,103.0,24.18301,-84.1362,2024-10-01T04:40:34Z,974,1937.5,1.12,29.554,36.211
aoml/4903554/profiles/D4903554_104.nc,4903554,104.0,24.34909,-84.07988,2024-10-06T06:06:18Z,985,1957.4,0.48,29.369,36.07
aoml/4903554/profiles/D4903554_105.nc,4903554,105.0,24.64038,-84.20447,2024-10-11T07:33:01Z,984,1957.4,0.96,27.46,36.168
aoml/4903555/profiles/D4903555_096.nc,4903555,96.0,25.01907,-92.38892,2024-10-02T04:01:28Z,1011,2011.3,1.08,29.47,36.152
aoml/4903555/profiles/D4903555_097.nc,4903555,97.0,24.9082,-92.43034,2024-10-07T05:25:44Z,1009,2008.0,1.04,29.334,36.147
aoml/4903555/profiles/D4903555_098.nc,4903555,98.0,24.9969,-92.67151,2024-10-12T06:43:56Z,1010,2009.8,1.04,28.553,36.29
aoml/4903556/profiles/D4903556_096.nc,4903556,96.0,27.73711,-85.96959,2024-09-29T01:22:48Z,1011,2011.5,1.0,29.148,35.657
aoml/4903556/profiles/D4903556_097.nc,4903556,97.0,27.73996,-85.97125,2024-10-04T02:10:45Z,1008,2005.4,1.0,29.318,35.896
aoml/4903556/profiles/D4903556_098.nc,4903556,98.0,27.65253,-86.11467,2024-10-09T02:48:36Z,1012,2013.4,1.32,29.28,36.259
aoml/4903556/profiles/D4903556_099.nc,4903556,99.0,27.52947,-86.02312,2024-10-14T03:32:45Z,1011,2011.1,0.96,28.175,36.296
aoml/4903557/profiles/D4903557_096.nc,4903557,96.0,25.93334,-93.7098,2024-09-28T16:40:16Z,1012,2011.5,0.48,29.628,36.226
aoml/4903557/profiles/D4903557_097.nc,4903557,97.0,25.8958,-93.48675,2024-10-03T17:23:07Z,1009,2005.1,0.48,28.964,36.168
aoml/4903557/profiles/D4903557_098.nc,4903557,98.0,25.92664,-94.041,2024-10-08T17:58:28Z,1009,2005.3,0.44,28.723,36.152
aoml/4903557/profiles/D4903557_099.nc,4903557,99.0,25.86226,-94.72175,2024-10-13T18:34:48Z,1011,2011.6,1.08,28.266,36.19
aoml/4903559/profiles/D4903559_061.nc,4903559,61.0,18.9071,-82.65753,2024-09-30T14:13:36Z,1009,2007.0,0.36,30.062,36.212
aoml/4903559/profiles/D4903559_062.nc,4903559,62.0,19.06502,-82.64735,2024-10-05T17:34:57Z,512,1011.3,0.44,30.692,36.111
aoml/4903559/profiles/D4903559_063.nc,4903559,63.0,19.18798,-82.60646,2024-10-11T02:11:48Z,1010,2008.7,0.44,30.367,36.215
aoml/4903562/profiles/D4903562_061.nc,4903562,61.0,21.30829,-85.79483,2024-10-01T02:28:14Z,957,1903.7,1.04,30.438,36.278
aoml/4903562/profiles/D4903562_062.nc,4903562,62.0,21.18148,-85.81105,2024-10-06T05:47:41Z,500,989.6,1.0,29.969,36.209
aoml/4903562/profiles/D4903562_063.nc,4903562,63.0,21.16037,-85.83549,2024-10-11T17:56:46Z,960,1909.4,1.08,30.053,36.111
aoml/4903563/profiles/D4903563_063.nc,4903563,63.0,20.3743,-80.16009,2024-10-01T09:36:36Z,972,1933.5,1.08,30.078,36.205
aoml/4903563/profiles/D4903563_064.nc,4903563,64.0,20.28076,-80.18906,2024-10-06T13:04:51Z,508,1005.4,1.0,30.19,36.223
aoml/4903563/profiles/D4903563_065.nc,4903563,65.0,20.16881,-80.16738,2024-10-11T21:47:12Z,1014,2017.4,1.12,30.678,36.192
aoml/4903622/profiles/R4903622_111.nc,4903622,111.0,24.0418,-90.2212,2024-10-05T17:25:19Z,498,1899.5,4.48,30.168,36.532
aoml/4903622/profiles/R4903622_111.nc,4903622,111.0,24.0418,-90.2212,2024-10-05T17:25:19Z,69,1899.5,7.96,30.154,36.55
aoml/7901009/profiles/R7901009_048.nc,7901009,48.0,23.4515,-86.3079,2024-10-01T11:46:13Z,504,1648.3,2.01,30.257,36.198
aoml/7901009/profiles/R7901009_048.nc,7901009,48.0,23.4515,-86.3079,2024-10-01T11:46:13Z,73,1648.3,7.79,30.294,36.22
aoml/7901009/profiles/R7901009_049.nc,7901009,49.0,23.0983,-86.0475,2024-10-11T17:12:51Z,496,1250.0,2.39,29.758,36.212
aoml/7901009/profiles/R7901009_049.nc,7901009,49.0,23.0983,-86.0475,2024-10-11T17:12:51Z,65,1250.0,7.41,29.754,36.212
