cast_id,platform,year,month,obs_date,lat,lon,model_grid_lat,model_grid_lon,model_grid_distance_km,obs_ohc_j_m2,obs_tchp_kj_cm2,obs_d26_m,model_ohc_j_m2,model_tchp_kj_cm2,model_d26_m,delta_ohc_j_m2,delta_tchp_kj_cm2
aoml/4903552/profiles/D4903552_052.nc,4903552,2024,2,20240220,24.268,-83.989,24.278980255126953,-84.0,1.653,,,,,,,,
aoml/4903556/profiles/D4903556_052.nc,4903556,2024,2,20240220,25.236,-86.084,25.223424911499023,-86.0799560546875,1.456,,,,,,,,
aoml/4903557/profiles/D4903557_052.nc,4903557,2024,2,20240220,25.272,-86.03,25.295774459838867,-86.0,4.011,,,,,,,,
aoml/4903559/profiles/D4903559_031.nc,4903559,2024,2,20240220,20.327,-83.689,20.357627868652344,-83.679931640625,3.534,525526997.14536875,52.55269971453687,151.842012128452,330182664.09295475,33.01826640929547,106.78239657754361,195344333.052414,19.5344333052414
aoml/4903562/profiles/D4903562_031.nc,4903562,2024,2,20240220,19.296,-85.496,19.304065704345703,-85.52001953125,2.676,278344005.19940585,27.834400519940584,111.38695033385626,254866295.99627358,25.486629599627356,95.00133131381031,23477709.20313227,2.347770920313227
aoml/4903240/profiles/D4903240_347.nc,4903240,2024,2,20240221,25.151,-95.143,25.151031494140625,-95.1199951171875,2.316,,,,,,,,
aoml/4903248/profiles/D4903248_332.nc,4903248,2024,2,20240221,26.088,-91.468,26.088764190673828,-91.43994140625,2.803,,,,,,,,
aoml/4903356/profiles/D4903356_210.nc,4903356,2024,2,20240221,28.288,-88.947,28.294475555419922,-88.9599609375,1.459,,,,,,,,
aoml/4903466/profiles/D4903466_100.nc,4903466,2024,2,20240221,23.501,-84.782,23.474300384521484,-84.800048828125,3.493,,,,,,,,
aoml/4903468/profiles/D4903468_103.nc,4903468,2024,2,20240221,26.421,-86.301,26.44745635986328,-86.320068359375,3.501,,,,,,,,
aoml/4903471/profiles/D4903471_100.nc,4903471,2024,2,20240221,28.872,-87.424,28.85651206970215,-87.43994140625,2.319,,,,,,,,
aoml/4903546/profiles/D4903546_052.nc,4903546,2024,2,20240221,24.831,-90.619,24.861026763916016,-90.6400146484375,3.955,,,,,,,,
aoml/4903548/profiles/D4903548_052.nc,4903548,2024,2,20240221,25.693,-85.709,25.72896957397461,-85.679931640625,4.948,,,,,,,,
aoml/4903549/profiles/D4903549_052.nc,4903549,2024,2,20240221,25.816,-89.052,25.801015853881836,-89.0400390625,2.052,161571180.30225867,16.157118030225867,60.98503314951881,,,,,
aoml/4903553/profiles/D4903553_052.nc,4903553,2024,2,20240221,23.117,-83.33,23.106897354125977,-83.3599853515625,3.266,,,,,,,,
aoml/4903554/profiles/D4903554_059.nc,4903554,2024,2,20240221,25.646,-84.757,25.656879425048828,-84.719970703125,3.904,,,,,,,,
