cast_id,source_file,platform,lat,lon,obs_date,month,year
aoml/4903562/profiles/D4903562_030.nc,aoml/4903562/profiles/D4903562_030.nc,4903562,19.334,-85.336,20240210,2,2024
aoml/4903563/profiles/D4903563_032.nc,aoml/4903563/profiles/D4903563_032.nc,4903563,20.521,-81.863,20240210,2,2024
aoml/4902915/profiles/D4902915_493.nc,aoml/4902915/profiles/D4902915_493.nc,4902915,21.648,-95.209,20240216,2,2024
aoml/4903237/profiles/D4903237_346.nc,aoml/4903237/profiles/D4903237_346.nc,4903237,24.185,-81.42,20240216,2,2024
aoml/4903240/profiles/D4903240_346.nc,aoml/4903240/profiles/D4903240_346.nc,4903240,25.001,-95.234,20240216,2,2024
aoml/4903248/profiles/D4903248_331.nc,aoml/4903248/profiles/D4903248_331.nc,4903248,26.199,-91.514,20240216,2,2024
aoml/4903356/profiles/D4903356_209.nc,aoml/4903356/profiles/D4903356_209.nc,4903356,28.312,-88.919,20240216,2,2024
aoml/4903466/profiles/D4903466_099.nc,aoml/4903466/profiles/D4903466_099.nc,4903466,23.552,-84.829,20240216,2,2024
aoml/4903468/profiles/D4903468_102.nc,aoml/4903468/profiles/D4903468_102.nc,4903468,26.626,-85.935,20240216,2,2024
aoml/4903471/profiles/D4903471_099.nc,aoml/4903471/profiles/D4903471_099.nc,4903471,28.748,-87.46,20240216,2,2024
aoml/4903546/profiles/D4903546_051.nc,aoml/4903546/profiles/D4903546_051.nc,4903546,25.451,-90.423,20240216,2,2024
aoml/4903548/profiles/D4903548_051.nc,aoml/4903548/profiles/D4903548_051.nc,4903548,25.258,-85.907,20240216,2,2024
aoml/4903549/profiles/D4903549_051.nc,aoml/4903549/profiles/D4903549_051.nc,4903549,25.721,-88.663,20240216,2,2024
aoml/4903553/profiles/D4903553_051.nc,aoml/4903553/profiles/D4903553_051.nc,4903553,23.091,-83.27,20240216,2,2024
aoml/4903554/profiles/D4903554_058.nc,aoml/4903554/profiles/D4903554_058.nc,4903554,25.344,-84.577,20240216,2,2024
aoml/4902349/profiles/D4902349_278.nc,aoml/4902349/profiles/D4902349_278.nc,4902349,20.059,-94.928,20240220,2,2024
aoml/4902352/profiles/D4902352_282.nc,aoml/4902352/profiles/D4902352_282.nc,4902352,23.997,-96.038,20240220,2,2024
aoml/4902915/profiles/D4902915_494.nc,aoml/4902915/profiles/D4902915_494.nc,4902915,21.348,-95.074,20240220,2,2024
aoml/4903255/profiles/D4903255_330.nc,aoml/4903255/profiles/D4903255_330.nc,4903255,27.115,-88.756,20240220,2,2024
aoml/4903279/profiles/D4903279_269.nc,aoml/4903279/profiles/D4903279_269.nc,4903279,26.083,-84.85,20240220,2,2024
aoml/4903464/profiles/D4903464_099.nc,aoml/4903464/profiles/D4903464_099.nc,4903464,28.481,-88.658,20240220,2,2024
aoml/4903545/profiles/D4903545_052.nc,aoml/4903545/profiles/D4903545_052.nc,4903545,26.521,-87.583,20240220,2,2024
aoml/4903550/profiles/D4903550_052.nc,aoml/4903550/profiles/D4903550_052.nc,4903550,24.69,-89.788,20240220,2,2024
