target,macro_region,patch_lat0,patch_lon0,patch_label,rows,dates,raw_rmse,raw_mae,raw_bias,raw_corr,corrected_rmse,corrected_mae,corrected_bias,corrected_corr,mae_improvement,rmse_improvement
tchp,indian,-20,140,"lat[-20,0) lon[140,160)",36,28,32.337631352099294,25.077068252765997,-23.916434143281375,0.9689525836433449,19.840769376978614,15.581694870284107,-2.243669135974145,0.9644625660629639,9.49537338248189,12.49686197512068
tchp,indian,-20,100,"lat[-20,0) lon[100,120)",36,21,19.914066573308006,15.315609635565064,-13.98132096482909,0.8593709608043504,10.154360449365395,6.348718227924166,-1.765475836928646,0.9340541401468002,8.966891407640897,9.75970612394261
tchp,indian,0,40,"lat[0,20) lon[40,60)",33,25,21.518088671843298,15.217402571573155,-3.5625436947082143,0.7831591637256713,21.42441353064902,15.893322085296184,8.2488366573265,0.8246853066797449,-0.6759195137230289,0.09367514119427867
tchp,indian,20,40,"lat[20,40) lon[40,60)",33,15,11.092164090275226,7.979140733852484,1.7877657370316398,0.6369445398074065,11.429863098839897,9.006265203463578,-4.656433521599286,0.5855732681729526,-1.0271244696110937,-0.3376990085646714
tchp,indian,-40,60,"lat[-40,-20) lon[60,80)",30,12,6.669039184853743,4.960026332768555,-1.0210586010155647,0.898578956572012,6.4195153750355765,4.62780921110092,-0.3603164006012251,0.8840564296130241,0.33221712166763506,0.24952380981816624
tchp,indian,-40,40,"lat[-40,-20) lon[40,60)",24,11,8.89752062983501,7.300808025848291,4.505787369676924,0.9074672271358296,8.39083316035208,6.946486908406036,2.178101011433697,0.9031426597137288,0.3543211174422547,0.5066874694829284
tchp,indian,-20,120,"lat[-20,0) lon[120,140)",15,14,28.3869608804699,22.313950929899487,-21.14000794561573,0.7141076722964775,17.79139229085425,15.549630749837553,0.3556245439065691,0.7532443903697975,6.764320180061935,10.595568589615649
tchp,indian,-40,100,"lat[-40,-20) lon[100,120)",12,6,7.271855187826176,4.988450017870844,-3.6113579562961404,0.7985116024833092,7.898898186269942,5.591267644540846,-4.028280131311153,0.7583216593746105,-0.602817626670002,-0.6270429984437653
tchp,indian,40,20,"lat[40,60) lon[20,40)",11,10,3.029657277269792,2.362837100818112,0.47582526831915894,0.14186970372847715,2.7005741507519754,2.3882792739147596,-1.649193336457917,0.3894690259710746,-0.025442173096647647,0.32908312651781646
tchp,indian,-40,20,"lat[-40,-20) lon[20,40)",8,6,22.428484328226624,19.767819980788595,16.084347497844277,0.6393128747084428,17.446018985147873,15.049656363750167,6.736691963100013,0.5624793792967492,4.718163617038428,4.982465343078751
tchp,indian,40,40,"lat[40,60) lon[40,60)",3,3,4.700432472411596,3.877904357822873,3.877904357822873,0.2805972500684818,1.9263670671288646,1.2482140314396921,-1.127923943288984,0.9494740712530724,2.629690326383181,2.7740654052827316
tchp,indian,-40,80,"lat[-40,-20) lon[80,100)",1,1,5.504277594623295,5.504277594623295,-5.504277594623295,,3.4313238936040076,3.4313238936040076,-3.4313238936040076,,2.072953701019287,2.072953701019287
tchp,pacific,0,160,"lat[0,20) lon[160,180)",374,56,32.63626586048716,27.74826910702996,-26.11192652452069,0.8263145046775413,19.03256852834061,14.774512608737838,-0.9444468527835996,0.843031154278127,12.97375649829212,13.603697332146545
tchp,pacific,-20,-180,"lat[-20,0) lon[-180,-160)",338,55,24.643372777046107,19.100546707777802,-17.2008021100206,0.9308264937197158,14.713784067023521,11.321927139062835,1.4619506968111458,0.9503687090113809,7.7786195687149675,9.929588710022585
tchp,pacific,0,-180,"lat[0,20) lon[-180,-160)",315,57,23.221125307450333,18.215486358074315,-17.104233987260667,0.9453446199769638,14.079224768118104,11.381399091722281,2.8588416439812816,0.9546722893496085,6.834087266352034,9.141900539332228
tchp,pacific,20,140,"lat[20,40) lon[140,160)",258,45,13.429606646397604,10.078671910148158,3.654856460959149,0.7595088263700915,12.487091105280326,9.711466163457573,-4.143702588214117,0.7751077850433647,0.36720574669058514,0.9425155411172774
tchp,pacific,0,-120,"lat[0,20) lon[-120,-100)",248,55,11.786729636316604,8.412733571354517,-3.4179185570207364,0.7121191423235331,11.298396983418108,8.49059514665042,2.5730696427886497,0.7388774394646568,-0.07786157529590376,0.4883326528984959
tchp,pacific,20,160,"lat[20,40) lon[160,180)",243,49,9.385257332411873,7.155748101236466,2.804538341991279,0.8871914100087303,8.429144842037875,6.0846880412498425,-2.8800147460081447,0.9063825349969282,1.0710600599866238,0.9561124903739984
tchp,pacific,-20,160,"lat[-20,0) lon[160,180)",228,54,28.16806281570174,22.56455285477264,-19.01677238255606,0.9423496808688536,18.34549836390747,14.7541969897572,1.5527454739404052,0.9548841213638558,7.81035586501544,9.822564451794271
