target,box,box_display,month,rows
d26,bay_of_bengal,Bay of Bengal,2025-11,160
d26,bay_of_bengal,Bay of Bengal,2025-12,156
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-01,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-02,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-03,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-04,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-05,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-06,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-07,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-08,0
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-09,95
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-10,233
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-11,280
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2024-12,326
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-01,221
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-02,185
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-03,247
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-04,473
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-05,480
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-06,442
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-07,254
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-08,184
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-09,256
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-10,185
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-11,181
d26,philippine_sea,Philippine Sea / W Pacific warm pool,2025-12,188
d26,coral_sea,Coral Sea,2024-01,0
d26,coral_sea,Coral Sea,2024-02,0
d26,coral_sea,Coral Sea,2024-03,0
d26,coral_sea,Coral Sea,2024-04,0
d26,coral_sea,Coral Sea,2024-05,0
d26,coral_sea,Coral Sea,2024-06,0
d26,coral_sea,Coral Sea,2024-07,0
d26,coral_sea,Coral Sea,2024-08,0
d26,coral_sea,Coral Sea,2024-09,31
d26,coral_sea,Coral Sea,2024-10,83
d26,coral_sea,Coral Sea,2024-11,78
d26,coral_sea,Coral Sea,2024-12,83
d26,coral_sea,Coral Sea,2025-01,83
d26,coral_sea,Coral Sea,2025-02,68
d26,coral_sea,Coral Sea,2025-03,77
d26,coral_sea,Coral Sea,2025-04,76
d26,coral_sea,Coral Sea,2025-05,80
d26,coral_sea,Coral Sea,2025-06,91
d26,coral_sea,Coral Sea,2025-07,66
d26,coral_sea,Coral Sea,2025-08,65
d26,coral_sea,Coral Sea,2025-09,70
d26,coral_sea,Coral Sea,2025-10,75
d26,coral_sea,Coral Sea,2025-11,73
d26,coral_sea,Coral Sea,2025-12,62
d26,central_eq_pacific,Central equatorial N Pacific,2024-01,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-02,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-03,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-04,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-05,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-06,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-07,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-08,0
d26,central_eq_pacific,Central equatorial N Pacific,2024-09,66
d26,central_eq_pacific,Central equatorial N Pacific,2024-10,183
d26,central_eq_pacific,Central equatorial N Pacific,2024-11,166
d26,central_eq_pacific,Central equatorial N Pacific,2024-12,165
d26,central_eq_pacific,Central equatorial N Pacific,2025-01,133
d26,central_eq_pacific,Central equatorial N Pacific,2025-02,113
d26,central_eq_pacific,Central equatorial N Pacific,2025-03,185
d26,central_eq_pacific,Central equatorial N Pacific,2025-04,165
d26,central_eq_pacific,Central equatorial N Pacific,2025-05,240
d26,central_eq_pacific,Central equatorial N Pacific,2025-06,151
d26,central_eq_pacific,Central equatorial N Pacific,2025-07,167
d26,central_eq_pacific,Central equatorial N Pacific,2025-08,180
d26,central_eq_pacific,Central equatorial N Pacific,2025-09,184
d26,central_eq_pacific,Central equatorial N Pacific,2025-10,168
d26,central_eq_pacific,Central equatorial N Pacific,2025-11,158
d26,central_eq_pacific,Central equatorial N Pacific,2025-12,164
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-01,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-02,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-03,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-04,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-05,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-06,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-07,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-08,0
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-09,44
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-10,123
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-11,124
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2024-12,120
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-01,120
