feature,family,units,valid_rows,valid_pct,first_valid_date,last_valid_date,valid_dates,p5,median,p95,in_best_recipe
model_sst_local_mean_2deg,neighborhood,–,322611,100.0,20240131,20251231,701,-0.8407104313373566,20.482999801635742,29.771638870239258,
model_sst_local_std_2deg,neighborhood,–,322611,100.0,20240131,20251231,701,0.13700434565544128,0.5162415504455566,1.5078356862068176,
model_sst_grad_mag_per_100km,neighborhood,per 100 km,322050,99.8,20240131,20251231,701,0.08730748929083348,0.8627603054046631,5.1461389541625975,yes
model_sst_anom_from_1deg_mean,neighborhood,–,322284,99.9,20240131,20251231,701,-0.46922788619995115,0.001361846923828125,0.4980004310607906,yes
woa_tchp_clim_kj_per_cm2,woa_climatology (side exploration),kJ/cm²,80590,25.0,20240131,20251231,701,1.6863553524017334,37.39079666137695,118.07472305297861,
woa_d26_clim_m,woa_climatology (side exploration),m,82808,25.7,20240131,20251231,701,17.986082458496096,66.44839477539062,125.33683013916016,
woa_sst_clim_c,woa_climatology (side exploration),–,316275,98.0,20240131,20251231,701,-0.6586099863052368,19.880590438842773,29.02733631134033,
model_minus_woa_tchp,woa_climatology (side exploration),–,77686,24.1,20240131,20251231,701,-22.361587524414062,9.458820343017578,48.239068031311035,
model_minus_woa_d26,woa_climatology (side exploration),–,79810,24.7,20240131,20251231,701,-29.55636329650879,1.4561653137207031,32.84768829345705,
month_int,base (derived at train time),–,322616,100.0,20240131,20251231,701,2.0,7.0,12.0,yes
abs_lat,base (derived at train time),°,322616,100.0,20240131,20251231,701,2.725,33.7974,66.74815000000001,yes
month_sin,base (derived at train time),–,322616,100.0,20240131,20251231,701,-1.0,-2.4492935982947064e-16,1.0,yes
month_cos,base (derived at train time),–,322616,100.0,20240131,20251231,701,-1.0,-1.8369701987210297e-16,1.0,yes
doy_sin,base (derived at train time),–,322616,100.0,20240131,20251231,701,-0.9893724130196829,-0.06861473800213432,0.9893724130196829,yes
doy_cos,base (derived at train time),–,322616,100.0,20240131,20251231,701,-0.9880878960910772,-0.07717546212664643,0.9788556850953579,yes
is_winter_jfm,base (derived at train time),–,322616,100.0,20240131,20251231,701,0.0,0.0,1.0,yes
is_summer_jas,base (derived at train time),–,322616,100.0,20240131,20251231,701,0.0,0.0,1.0,yes
is_other,base (derived at train time),–,322616,100.0,20240131,20251231,701,0.0,1.0,1.0,yes
